Sexo;Categoria;Tempo Final;Ritmo;Distancia
Feminino;35-39;0:33:17.94;06:40;5
Masculino;25-34;0:33:18.35;06:40;5
Feminino;35-39;0:33:18.35;06:40;5
Masculino;18-24;0:33:18.85;06:40;5
Masculino;45-49;0:33:19.11;06:40;5
Feminino;25-34;0:33:20.35;06:40;5
Feminino;25-34;0:33:20.98;06:40;5
Feminino;25-34;0:33:22.77;06:40;5
Masculino;25-34;0:33:23.11;06:41;5
Feminino;45-49;0:33:24.07;06:41;5
Masculino;40-44;0:33:24.63;06:41;5
Feminino;50-54;0:33:24.82;06:41;5
Masculino;75+;0:33:25.64;06:41;5
Feminino;25-34;0:33:26.92;06:41;5
Feminino;25-34;0:33:27.79;06:41;5
Masculino;25-34;0:33:28.91;06:41;5
Feminino;25-34;0:33:29.37;06:42;5
Feminino;50-54;0:33:30.80;06:42;5
Feminino;60-64;0:33:31.09;06:42;5
Masculino;45-49;0:33:33.18;06:43;5
Feminino;55-59;0:33:34.72;06:43;5
Feminino;45-49;0:33:35.31;06:43;5
Masculino;40-44;0:33:36.59;06:43;5
Masculino;25-34;0:33:38.37;06:44;5
Feminino;25-34;0:33:38.85;06:44;5
Masculino;65-69;0:33:39.41;06:44;5
Masculino;25-34;0:33:39.48;06:44;5
Feminino;18-24;0:33:39.65;06:44;5
Masculino;40-44;0:33:40.07;06:44;5
Feminino;40-44;0:33:40.85;06:44;5
Masculino;25-34;0:33:43.34;06:44;5
Feminino;45-49;0:33:43.90;06:44;5
Feminino;25-34;0:33:44.78;06:45;5
Feminino;65-69;0:33:46.55;06:45;5
Masculino;35-39;0:33:47.10;06:46;5
Masculino;35-39;0:33:48.32;06:46;5
Feminino;25-34;0:33:48.53;06:46;5
Feminino;55-59;0:33:49.57;06:46;5
Feminino;60-64;0:33:49.82;06:46;5
Feminino;25-34;0:33:50.21;06:46;5
Feminino;18-24;0:33:53.55;06:47;5
Feminino;35-39;0:33:53.86;06:47;5
Feminino;25-34;0:33:55.10;06:47;5
Feminino;25-34;0:33:55.12;06:47;5
Feminino;35-39;0:33:55.32;06:47;5
Feminino;45-49;0:33:55.76;06:47;5
Feminino;25-34;0:33:56.58;06:47;5
Masculino;25-34;0:33:57.26;06:47;5
Feminino;25-34;0:33:58.85;06:47;5
Masculino;40-44;0:34:00.74;06:48;5
Feminino;25-34;0:34:02.08;06:49;5
Masculino;65-69;0:34:02.18;06:49;5
Feminino;55-59;0:34:04.53;06:49;5
Feminino;40-44;0:34:05.69;06:49;5
Feminino;50-54;0:34:07.06;06:49;5
Feminino;60-64;0:34:07.56;06:49;5
Feminino;25-34;0:34:07.96;06:49;5
Feminino;45-49;0:34:08.81;06:50;5
Feminino;35-39;0:34:09.79;06:50;5
Masculino;35-39;0:34:11.31;06:50;5
Feminino;25-34;0:34:11.66;06:50;5
Feminino;35-39;0:34:12.81;06:50;5
Masculino;70-74;0:34:12.89;06:50;5
Masculino;60-64;0:34:13.22;06:50;5
Feminino;35-39;0:34:14.34;06:51;5
Masculino;FF;0:34:17.17;06:52;5
Feminino;25-34;0:34:17.43;06:52;5
Masculino;35-39;0:34:17.73;06:52;5
Masculino;18-24;0:34:21.40;06:52;5
Feminino;50-54;0:34:21.54;06:52;5
Masculino;45-49;0:34:21.67;06:52;5
Masculino;70-74;0:34:21.94;06:52;5
Masculino;55-59;0:34:25.15;06:53;5
Feminino;25-34;0:34:25.35;06:53;5
Masculino;40-44;0:34:26.73;06:53;5
Feminino;18-24;0:34:28.57;06:53;5
Masculino;35-39;0:34:30.42;06:54;5
Feminino;45-49;0:34:30.57;06:54;5
Feminino;45-49;0:34:30.89;06:54;5
Feminino;40-44;0:34:32.41;06:55;5
Feminino;60-64;0:34:32.45;06:55;5
Feminino;25-34;0:34:32.83;06:55;5
Feminino;35-39;0:34:33.22;06:55;5
Feminino;18-24;0:34:33.23;06:55;5
Feminino;18-24;0:34:33.52;06:55;5
Feminino;50-54;0:34:34.12;06:55;5
Feminino;60-64;0:34:34.31;06:55;5
Feminino;35-39;0:34:35.42;06:55;5
Feminino;25-34;0:34:37.50;06:55;5
Masculino;40-44;0:34:37.88;06:55;5
Feminino;40-44;0:34:38.53;06:56;5
Feminino;35-39;0:34:39.62;06:56;5
Feminino;25-34;0:34:39.86;06:56;5
Feminino;45-49;0:34:40.08;06:56;5
Feminino;25-34;0:34:40.73;06:56;5
Feminino;60-64;0:34:40.95;06:56;5
Masculino;18-24;0:34:41.25;06:56;5
Feminino;35-39;0:34:42.98;06:56;5
Feminino;25-34;0:34:43.90;06:56;5
Feminino;60-64;0:34:45.05;06:57;5
Feminino;45-49;0:34:45.63;06:57;5
Feminino;40-44;0:34:46.42;06:57;5
Masculino;40-44;0:34:48.47;06:58;5
Feminino;50-54;0:34:49.82;06:58;5
Feminino;35-39;0:34:51.18;06:58;5
